Data,Previsão
201401,40.0
201402,77.0
201403,107.0
201404,150.0
201405,180.0
201406,154.0
201407,151.0
201408,154.0
201409,109.0
201410,114.0
201411,131.0
201412,152.0
201413,173.0
201414,254.0
201415,240.0
201416,187.0
201417,191.0
201418,270.0
201419,417.0
201420,426.0
201421,507.0
201422,513.0
201423,560.0
201424,448.0
201425,400.0
201426,383.0
201427,402.0
201428,392.0
201429,335.0
201430,373.0
201431,279.0
201432,244.0
201433,244.0
201434,219.0
201435,187.0
201436,162.0
201437,175.0
201438,172.0
201439,129.0
201440,174.0
201441,146.0
201442,140.0
201443,134.0
201444,118.0
201445,110.0
201446,102.0
201447,91.0
201448,94.0
201449,87.0
201450,99.0
201451,86.0
201452,81.0
201453,27.0
201501,156.0
201502,185.0
201503,207.0
201504,221.0
201505,311.0
201506,300.0
201507,292.0
201508,372.0
201509,603.0
201510,712.0
201511,685.0
201512,795.0
201513,727.0
201514,1032.0
201515,1431.0
201516,2286.0
201517,2465.0
201518,3281.0
201519,4081.0
201520,4044.0
201521,3177.0
201522,2526.0
201523,2150.0
201524,1985.0
201525,1656.0
201526,1189.0
201527,1059.0
201528,1009.0
201529,629.0
201530,537.0
201531,494.0
201532,400.0
201533,332.0
201534,220.0
201535,190.0
201536,173.0
201537,161.0
201538,120.0
201539,107.0
201540,109.0
201541,112.0
201542,85.0
201543,51.0
201544,66.0
201545,82.0
201546,80.0
201547,94.0
201548,128.0
201549,134.0
201550,114.0
201551,94.0
201552,55.0
201601,157.0
201602,235.0
201603,244.0
201604,367.0
201605,462.0
201606,411.0
201607,500.0
201608,531.0
201609,553.0
201610,608.0
201611,589.0
201612,591.0
201613,710.0
201614,807.0
201615,971.0
201616,2002.0
201617,2552.0
201618,2710.0
201619,2772.0
201620,3282.0
201621,2775.0
201622,1988.0
201623,1917.0
201624,1832.0
201625,1358.0
201626,1335.0
201627,1346.0
201628,1027.0
201629,1091.0
201630,908.0
201631,846.0
201632,683.0
201633,698.0
201634,643.0
201635,500.0
201636,426.0
201637,449.0
201638,447.0
201639,378.0
201640,382.0
201641,376.0
201642,287.0
201643,302.0
201644,296.0
201645,350.0
201646,365.0
201647,327.0
201648,343.0
201649,368.0
201650,312.0
201651,234.0
201652,294.0
201701,405.0
201702,418.0
201703,633.0
201704,736.0
201705,1136.0
201706,1363.0
201707,1374.0
201708,1117.0
201709,1196.0
201710,1529.0
201711,1650.0
201712,2052.0
201713,3007.0
201714,3350.0
201715,3685.0
201716,2931.0
201717,2728.0
201718,1615.0
201719,1415.0
201720,1133.0
201721,650.0
201722,582.0
201723,455.0
201724,283.0
201725,234.0
201726,188.0
201727,175.0
201728,184.0
201729,189.0
201730,185.0
201731,132.0
201732,122.0
201733,96.0
201734,106.0
201735,94.0
201736,68.0
201737,193.0
201738,364.0
201739,416.0
201740,273.0
201741,225.0
201742,59.0
201743,47.0
201744,86.0
201745,109.0
201746,68.0
201747,72.0
201748,64.0
201749,57.0
201750,65.0
201751,70.0
201752,67.0
201801,115.0
201802,117.0
201803,121.0
201804,119.0
201805,138.0
201806,135.0
201807,108.0
201808,173.0
201809,169.0
201810,155.0
201811,209.0
201812,176.0
201813,291.0
201814,391.0
201815,431.0
201816,342.0
201817,216.0
201818,173.0
201819,140.0
201820,131.0
201821,132.0
201822,95.0
201823,91.0
201824,79.0
201825,66.0
201826,55.0
201827,69.0
201828,72.0
201829,76.0
201830,84.0
201831,64.0
201832,61.0
201833,51.0
201834,43.0
201835,35.0
201836,28.0
201837,36.0
201838,41.0
201839,30.0
201840,40.0
201841,35.0
201842,32.0
201843,36.0
201844,30.0
201845,37.0
201846,36.0
201847,48.0
201848,27.0
201849,56.0
201850,50.0
201851,40.0
201852,43.0
201901,85.0
201902,87.0
201903,104.0
201904,141.0
201905,120.0
201906,110.0
201907,103.0
201908,119.0
201909,157.0
201910,187.0
201911,269.0
201912,285.0
201913,436.0
201914,670.0
201915,601.0
201916,426.0
201917,436.0
201918,392.0
201919,328.0
201920,371.0
201921,322.0
201922,288.0
201923,260.0
201924,227.0
201925,197.0
201926,176.0
201927,210.0
201928,229.0
201929,193.0
201930,212.0
201931,211.0
201932,189.0
201933,183.0
201934,153.0
201935,155.0
201936,147.0
201937,137.0
201938,156.0
201939,154.0
201940,122.0
201941,76.0
201942,81.0
201943,104.0
201944,110.0
201945,110.0
201946,86.0
201947,88.0
201948,82.0
201949,111.0
201950,91.0
201951,89.0
201952,66.0
202001,72.0
202002,167.0
202003,235.0
202004,258.0
202005,313.0
202006,405.0
202007,552.0
202008,587.0
202009,834.0
202010,736.0
202011,779.0
202012,421.0
202013,296.0
202014,403.0
202015,415.0
202016,535.0
202017,599.0
202018,591.0
202019,477.0
202020,357.0
202021,334.0
202022,297.0
202023,371.0
202024,388.0
202025,436.0
202026,490.0
202027,506.0
202028,437.0
202029,416.0
202030,338.0
202031,328.0
202032,276.0
202033,272.0
202034,293.0
202035,242.0
202036,182.0
202037,160.0
202038,162.0
202039,124.0
202040,140.0
202041,115.0
202042,116.0
202043,93.0
202044,78.0
202045,124.0
202046,107.0
202047,122.0
202048,100.0
202049,112.0
202050,105.0
202051,79.0
202052,89.0
202053,54.0
202101,123.0
202102,116.0
202103,130.0
202104,127.0
202105,164.0
202106,184.0
202107,220.0
202108,217.0
202109,244.0
202110,272.0
202111,235.0
202112,251.0
202113,258.0
202114,453.0
202115,496.0
202116,574.0
202117,751.0
202118,1037.0
202119,1368.0
202120,1303.0
202121,1414.0
202122,1944.0
202123,2084.0
202124,1752.0
202125,1697.0
202126,1457.0
202127,1380.0
202128,1370.0
202129,1158.0
202130,951.0
202131,904.0
202132,768.0
202133,722.0
202134,545.0
202135,443.0
202136,390.0
202137,401.0
202138,369.0
202139,336.0
202140,236.0
202141,270.0
202142,276.0
202143,221.0
202144,252.0
202145,195.0
202146,191.0
202147,198.0
202148,191.0
202149,279.0
202150,325.0
202151,133.0
202152,19.0
202201,210.0
202202,242.0
202203,169.0
202204,115.0
202205,138.0
202206,187.0
202207,298.0
202208,322.0
202209,439.0
202210,490.0
202211,687.0
202212,780.0
202213,989.0
202214,1320.0
202215,1501.0
202216,1803.0
202217,1776.0
202218,2269.0
202219,2604.0
202220,2620.0
202221,1754.0
202222,2293.0
202223,2289.0
202224,1849.0
202225,1710.0
202226,1538.0
202227,938.0
202228,747.0
202229,816.0
202230,735.0
202231,859.0
202232,605.0
202233,568.0
202234,473.0
202235,442.0
202236,451.0
202237,398.0
202238,360.0
202239,260.0
202240,297.0
202241,192.0
202242,204.0
202243,160.0
202244,159.0
202245,200.0
202246,254.0
202247,176.0
202248,173.0
202249,118.0
202250,102.0
202251,98.0
202252,140.0
202301,263.0
202302,187.0
202303,255.0
202304,270.0
202305,265.0
202306,312.0
202307,350.0
202308,506.0
202309,713.0
202310,760.0
202311,783.0
202312,730.0
202313,583.0
202314,414.0
202315,467.0
202316,458.0
202317,391.0
202318,447.0
202319,417.0
202320,342.0
202321,399.0
202322,363.0
202323,344.0
202324,316.0
202325,309.0
202326,252.0
202327,313.0
202328,302.0
202329,244.0
202330,203.0
202331,230.0
202332,191.0
202333,179.0
202334,217.0
202335,201.0
202336,208.0
202337,168.0
202338,169.0
202339,146.0
202340,174.0
202341,139.0
202342,137.0
202343,118.0
202344,118.0
202345,108.0
202346,87.0
202347,120.0
202348,99.0
202349,96.0
202350,72.0
202351,27.0
202352,34.0
202401,145.0
202402,137.0
202403,184.0
202404,211.0
202405,275.0
202406,262.0
202407,336.0
202408,449.0
202409,562.0
202410,643.0
202411,617.0
202412,597.0
202413,554.0
202414,786.0
202415,726.0
202416,551.0
202417,455.0
202418,366.0
202419,330.0
202420,292.0
202421,288.0
202422,191.0
202423,222.0
202424,236.0
202425,169.0
202426,169.0
202427,165.0
202428,155.0
202429,139.0
202430,127.0
202431,136.0
202432,144.0
202433,123.0
202434,117.0
202435,128.0
202436,96.0
202437,93.0
202438,96.0
202439,92.0
202440,67.0
202441,74.0
202442,64.0
202443,88.0
202444,90.0
202445,92.0
202446,104.0
202447,126.0
202448,99.0
202449,85.0
202450,82.0
202451,65.0
202452,42.0
202501,57.0
